thomas_num,thomas_name,last_name,first_name,icpsr,congress,year,st_name,cd,dem,majority,elected,female,afam,latino,votepct,votepct_sq,dwnom1,meddist,majdist,deleg_size,speaker,chair,subchr,power,budget,seniority,sensq,state_leg,state_leg_prof,maj_leader,min_leader,south,south_dem,ss_bills,ss_aic,ss_abc,ss_pass,ss_law,s_bills,s_aic,s_abc,s_pass,s_law,c_bills,c_aic,c_abc,c_pass,c_law,all_bills,all_aic,all_abc,all_pass,all_law,les,leslag
74,"Clausen, Don",Clausen, Don,10579,93,1973,CA,1,0,0,1963,0,0,0,62,3844,0.157000005,0.204000011,0.476500005,43,0,0,0,0,0,6,36,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,3,0,0,0,0,37,0,0,0,0,0.178826943,
75,"Clawson, Del",Clawson, Del,10580,93,1973,CA,23,0,0,1963,0,0,0,61,3721,0.522000015,0.569000006,0.841500044,43,0,0,0,1,1,6,36,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,2,1,1,1,1,11,1,1,1,1,0.141188353,
76,"Clay, William",Clay, William,12009,93,1973,MO,1,1,1,1968,0,1,0,64,4096,-0.584999979,0.537999988,0.265499979,10,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,5,1,1,1,1,1,0,0,0,0,6,1,1,1,1,0.489902288,
77,"Cleveland, James",Cleveland, James,10581,93,1973,NH,2,0,0,1962,0,0,0,68,4624,0.201000005,0.248000011,0.520500004,2,0,0,0,0,0,6,36,1,0.061999999,0,0,0,0,0,0,0,0,0,27,0,0,0,0,2,1,1,1,1,29,1,1,1,1,0.234219715,
78,"Cochran, Thad",Cochran, Thad,14009,93,1973,MS,4,0,0,1972,0,0,0,48,2304,0.203999996,0.250999987,0.523500025,5,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,20,0,0,0,0,1,0,0,0,0,21,0,0,0,0,0.104401857,
79,"Cohen, William",Cohen, William,14010,93,1973,ME,2,0,0,1972,0,0,0,54,2916,0.068999998,0.115999997,0.388500005,2,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,48,0,0,0,0,1,0,0,0,0,50,0,0,0,0,0.259454131,
80,"Collier, Harold",Collier, Harold,1941,93,1973,IL,6,0,0,1956,0,0,0,61,3721,0.36500001,0.412,0.684500039,24,0,0,0,1,0,9,81,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,3,0,0,0,0,54,0,0,0,0,0.266689897,
81,"Collins, Cardiss",Collins, Cardiss,14068,93,1973,IL,7,1,1,1973,1,1,0,,,-0.497000009,0.450000018,0.17750001,24,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0.056852497,
82,"Collins, James",Collins, James,11066,93,1973,TX,3,0,0,1968,0,0,0,73,5329,0.657000005,0.703999996,0.976500034,24,0,0,0,0,0,3,9,0,0,0,0,1,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0.082694538,
83,"Conable, Barber",Conable, Barber,10712,93,1973,NY,35,0,0,1964,0,0,0,68,4624,0.323000014,0.370000005,0.642500043,39,0,0,0,1,0,5,25,1,0.407000005,0,0,0,0,0,0,0,0,0,34,0,0,0,0,1,0,0,0,0,35,0,0,0,0,0.176759586,
84,"Conlan, John",Conlan, John,14011,93,1973,AZ,4,0,0,1972,0,0,0,53,2809,0.532999992,0.579999983,0.852500021,4,0,0,0,0,0,1,1,1,0.268999994,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0.025842045,
85,"Conte, Silvio",Conte, Silvio,2009,93,1973,MA,1,0,0,1958,0,0,0,100,10000,-0.048999999,0.001999999,0.270500004,12,0,0,0,1,0,8,64,1,0.386000007,0,0,0,0,1,1,1,1,1,70,0,0,0,0,7,2,2,2,1,78,3,3,3,2,1.456035018,
86,"Conyers, John",Conyers, John,10713,93,1973,MI,1,1,1,1964,0,1,0,88,7744,-0.762000024,0.715000033,0.442500025,19,0,0,1,0,0,5,25,0,0,0,0,0,0,1,1,1,1,0,27,0,0,0,0,0,0,0,0,0,28,1,1,1,0,0.730037272,
87,"Corman, James",Corman, James,10511,93,1973,CA,22,1,1,1960,0,0,0,68,4624,-0.536000013,0.489000022,0.216500014,43,0,0,1,1,0,7,49,0,0,0,0,0,0,1,1,1,1,1,56,0,0,0,0,6,0,0,0,0,63,1,1,1,1,1.232023001,
88,"Cotter, William",Cotter, William,13009,93,1973,CT,1,1,1,1970,0,0,0,57,3249,-0.298999995,0.252000004,0.020500004,6,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,2,0,0,0,0,10,0,0,0,0,0.043414634,
